data,total_sp,sem_resposta,aguardando,respondida,atrasada,pct_respondido
2026-07-05,128,89,0,33,84,26
2026-07-13,128,94,1,33,84,26
2026-07-14,135,93,1,41,76,30
2026-07-15,135,91,3,41,76,30
2026-07-16,135,91,3,41,86,30
2026-07-17,135,91,3,41,86,30
2026-07-18,135,91,3,41,86,30
2026-07-19,135,91,3,41,86,30
2026-07-20,135,91,3,41,86,30
2026-07-21,135,91,3,41,86,30
2026-07-22,135,91,3,41,86,30
2026-07-23,135,91,3,41,86,30
2026-07-24,135,91,3,41,86,30
2026-07-25,135,91,3,41,86,30
2026-07-26,135,91,3,41,86,30
2026-07-27,135,91,3,41,86,30
2026-07-28,135,91,3,41,86,30
2026-07-29,135,91,3,41,86,30
2026-07-30,135,91,3,41,86,30
2026-07-31,135,91,3,41,86,30
2026-08-01,135,91,3,41,87,30
2026-08-02,135,91,3,41,87,30
2026-08-03,135,91,3,41,87,30
2026-08-04,135,91,3,41,87,30
2026-08-05,135,91,3,41,87,30
2026-08-06,135,91,3,41,87,30
2026-08-07,135,91,3,41,87,30
2026-08-08,135,91,3,41,87,30
2026-08-09,135,91,3,41,87,30
2026-08-10,135,91,3,41,87,30
2026-08-11,135,91,3,41,87,30
2026-08-12,135,91,3,41,87,30
2026-08-13,140,11,0,129,3,92
2026-08-14,140,11,0,129,3,92
2026-08-15,140,11,0,129,3,92
2026-08-16,140,11,0,129,4,92
